Entity,Code,Day,Delta
Angola,AGO,2020-07-06,0
Angola,AGO,2020-08-31,0
Angola,AGO,2020-09-28,0
Angola,AGO,2020-10-12,0
Angola,AGO,2020-10-26,0
Angola,AGO,2020-12-07,0
Angola,AGO,2020-12-21,0
Angola,AGO,2021-01-04,0
Angola,AGO,2021-01-11,0
Angola,AGO,2021-01-25,0
Angola,AGO,2021-02-08,0
Angola,AGO,2021-02-22,0
Angola,AGO,2021-03-08,0
Angola,AGO,2021-03-22,0
Angola,AGO,2021-04-05,0
Angola,AGO,2021-04-19,0
Angola,AGO,2021-05-03,0
Angola,AGO,2021-05-17,80
Argentina,ARG,2020-05-11,0
Argentina,ARG,2020-05-25,0
Argentina,ARG,2020-06-08,0
Argentina,ARG,2020-06-22,0
Argentina,ARG,2020-07-06,0
Argentina,ARG,2020-07-20,0
Argentina,ARG,2020-08-03,0
Argentina,ARG,2020-08-17,0
Argentina,ARG,2020-08-31,0
Argentina,ARG,2020-09-14,0
Argentina,ARG,2020-09-28,0
Argentina,ARG,2020-10-12,0
Argentina,ARG,2020-10-26,0
Argentina,ARG,2020-11-09,0
Argentina,ARG,2020-11-23,0
Argentina,ARG,2020-12-07,0
Argentina,ARG,2020-12-21,0
Argentina,ARG,2021-01-04,0
Argentina,ARG,2021-01-11,0
Argentina,ARG,2021-01-25,0
Argentina,ARG,2021-02-08,0
Argentina,ARG,2021-02-22,0
Argentina,ARG,2021-03-08,0
Argentina,ARG,2021-03-22,0
Argentina,ARG,2021-04-05,0
Argentina,ARG,2021-04-19,0
Argentina,ARG,2021-05-03,0.43
Argentina,ARG,2021-05-17,0
Aruba,ABW,2020-08-17,0
Aruba,ABW,2020-08-31,0
Aruba,ABW,2021-01-25,0
Aruba,ABW,2021-02-08,0
Aruba,ABW,2021-02-22,0
Aruba,ABW,2021-03-08,0
Aruba,ABW,2021-03-22,0
Aruba,ABW,2021-04-05,0
Aruba,ABW,2021-04-19,0.76
Aruba,ABW,2021-05-03,1.43
Aruba,ABW,2021-05-17,0
Aruba,ABW,2021-05-31,0
Aruba,ABW,2021-06-14,0
Aruba,ABW,2021-06-28,0
Australia,AUS,2020-05-11,0
Australia,AUS,2020-05-25,0
Australia,AUS,2020-06-08,0
Australia,AUS,2020-06-22,0
Australia,AUS,2020-07-06,0
Australia,AUS,2020-07-20,0
Australia,AUS,2020-08-03,0
Australia,AUS,2020-08-17,0
Australia,AUS,2020-08-31,0
Australia,AUS,2020-09-14,0
Australia,AUS,2020-09-28,0
Australia,AUS,2020-10-12,0
Australia,AUS,2020-10-26,0
Australia,AUS,2020-11-09,0
Australia,AUS,2020-11-23,0
Australia,AUS,2020-12-07,0
Australia,AUS,2020-12-21,0
Australia,AUS,2021-01-04,0
Australia,AUS,2021-01-11,0
Australia,AUS,2021-01-25,0
Australia,AUS,2021-02-08,8.51
Australia,AUS,2021-02-22,0
Australia,AUS,2021-03-08,1.49
Australia,AUS,2021-03-22,0.93
Australia,AUS,2021-04-05,2.59
Australia,AUS,2021-04-19,18.71
Australia,AUS,2021-05-03,43.1
Australia,AUS,2021-05-17,39.08
Australia,AUS,2021-05-31,19.7
Australia,AUS,2021-06-14,43.96
Australia,AUS,2021-06-28,84.16
Australia,AUS,2021-07-12,88.89
Austria,AUT,2020-05-11,0
Austria,AUT,2020-05-25,0
Austria,AUT,2020-06-08,0
Austria,AUT,2020-06-22,0
Austria,AUT,2020-07-06,0
Austria,AUT,2020-07-20,0
Austria,AUT,2020-08-03,0
Austria,AUT,2020-08-17,0
Austria,AUT,2020-08-31,0
Austria,AUT,2020-09-14,0
Austria,AUT,2020-09-28,0
Austria,AUT,2020-10-12,0
Austria,AUT,2020-10-26,0
Austria,AUT,2020-11-09,0
Austria,AUT,2020-11-23,0
Austria,AUT,2020-12-07,0
Austria,AUT,2020-12-21,0
Austria,AUT,2021-01-04,0
Austria,AUT,2021-01-11,0
Austria,AUT,2021-01-25,0
Austria,AUT,2021-02-08,0
Austria,AUT,2021-02-22,0
Austria,AUT,2021-03-08,0
Austria,AUT,2021-03-22,0
Austria,AUT,2021-04-05,0
Austria,AUT,2021-04-19,0.57
Austria,AUT,2021-05-03,0.31
Austria,AUT,2021-05-17,0.5
Austria,AUT,2021-05-31,2.43
Austria,AUT,2021-06-14,45.73
Austria,AUT,2021-06-28,62.09
Bangladesh,BGD,2020-05-11,0
Bangladesh,BGD,2020-05-25,0
Bangladesh,BGD,2020-06-08,0
Bangladesh,BGD,2020-06-22,0
Bangladesh,BGD,2020-07-06,0
Bangladesh,BGD,2020-07-20,0
Bangladesh,BGD,2020-08-03,0
Bangladesh,BGD,2020-08-17,0
Bangladesh,BGD,2020-08-31,0
Bangladesh,BGD,2020-09-14,0
Bangladesh,BGD,2020-09-28,0
Bangladesh,BGD,2020-10-12,0
Bangladesh,BGD,2020-10-26,0
Bangladesh,BGD,2020-11-09,0
Bangladesh,BGD,2020-11-23,0
Bangladesh,BGD,2020-12-07,0
Bangladesh,BGD,2020-12-21,0
Bangladesh,BGD,2021-01-04,0
Bangladesh,BGD,2021-01-11,0
Bangladesh,BGD,2021-01-25,0
Bangladesh,BGD,2021-02-08,0
Bangladesh,BGD,2021-02-22,0
Bangladesh,BGD,2021-03-08,0
Bangladesh,BGD,2021-03-22,0
Bangladesh,BGD,2021-04-05,0
Bangladesh,BGD,2021-04-19,0
Bangladesh,BGD,2021-05-03,18.18
Bangladesh,BGD,2021-05-17,41.07
Bangladesh,BGD,2021-05-31,45.12
Bangladesh,BGD,2021-06-14,71.11
Bangladesh,BGD,2021-06-28,92
Belgium,BEL,2020-05-11,0
Belgium,BEL,2020-05-25,0
Belgium,BEL,2020-06-08,0
Belgium,BEL,2020-06-22,0
Belgium,BEL,2020-07-06,0
Belgium,BEL,2020-07-20,0
Belgium,BEL,2020-08-03,0
Belgium,BEL,2020-08-17,0
Belgium,BEL,2020-08-31,0
Belgium,BEL,2020-09-14,0
Belgium,BEL,2020-09-28,0
Belgium,BEL,2020-10-12,0
Belgium,BEL,2020-10-26,0
Belgium,BEL,2020-11-09,0
Belgium,BEL,2020-11-23,0
Belgium,BEL,2020-12-07,0
Belgium,BEL,2020-12-21,0
Belgium,BEL,2021-01-04,0
Belgium,BEL,2021-01-11,0
Belgium,BEL,2021-01-25,0
Belgium,BEL,2021-02-08,0
Belgium,BEL,2021-02-22,0
Belgium,BEL,2021-03-08,0
Belgium,BEL,2021-03-22,0
Belgium,BEL,2021-04-05,0
Belgium,BEL,2021-04-19,0.28
Belgium,BEL,2021-05-03,2.93
Belgium,BEL,2021-05-17,2.94
Belgium,BEL,2021-05-31,4.64
Belgium,BEL,2021-06-14,11.88
Belgium,BEL,2021-06-28,27.19
Belgium,BEL,2021-07-12,45.9
Botswana,BWA,2020-09-14,0
Botswana,BWA,2020-09-28,0
Botswana,BWA,2020-10-12,0
Botswana,BWA,2020-10-26,0
Botswana,BWA,2020-11-09,0
Botswana,BWA,2020-11-23,0
Botswana,BWA,2020-12-07,0
Botswana,BWA,2020-12-21,0
Botswana,BWA,2021-01-04,0
Botswana,BWA,2021-01-11,0
Botswana,BWA,2021-01-25,0
Botswana,BWA,2021-02-08,0
Botswana,BWA,2021-02-22,0
Botswana,BWA,2021-03-08,0
Botswana,BWA,2021-03-22,0
Botswana,BWA,2021-04-05,0
Botswana,BWA,2021-05-03,16.67
Botswana,BWA,2021-05-17,31.58
Botswana,BWA,2021-05-31,4.17
Botswana,BWA,2021-06-14,14.81
Botswana,BWA,2021-06-28,73.48
Brazil,BRA,2020-05-11,0
Brazil,BRA,2020-05-25,0
Brazil,BRA,2020-06-08,0
Brazil,BRA,2020-06-22,0
Brazil,BRA,2020-07-06,0
Brazil,BRA,2020-07-20,0
Brazil,BRA,2020-08-03,0
Brazil,BRA,2020-08-17,0
Brazil,BRA,2020-08-31,0
Brazil,BRA,2020-09-14,0
Brazil,BRA,2020-09-28,0
Brazil,BRA,2020-10-12,0
Brazil,BRA,2020-10-26,0
Brazil,BRA,2020-11-09,0
Brazil,BRA,2020-11-23,0
Brazil,BRA,2020-12-07,0
Brazil,BRA,2020-12-21,0
Brazil,BRA,2021-01-04,0
Brazil,BRA,2021-01-11,0
Brazil,BRA,2021-01-25,0
Brazil,BRA,2021-02-08,0
Brazil,BRA,2021-02-22,0
Brazil,BRA,2021-03-08,0
Brazil,BRA,2021-03-22,0
Brazil,BRA,2021-04-05,0
Brazil,BRA,2021-04-19,0
Brazil,BRA,2021-05-03,0.2
Brazil,BRA,2021-05-17,0.45
Brazil,BRA,2021-05-31,0.16
Brazil,BRA,2021-06-14,0
Brazil,BRA,2021-06-28,2.16
Bulgaria,BGR,2020-05-11,0
Bulgaria,BGR,2020-05-25,0
Bulgaria,BGR,2020-07-20,0
Bulgaria,BGR,2020-08-03,0
Bulgaria,BGR,2020-08-17,0
Bulgaria,BGR,2020-08-31,0
Bulgaria,BGR,2020-09-14,0
Bulgaria,BGR,2020-09-28,0
Bulgaria,BGR,2020-10-12,0
Bulgaria,BGR,2020-10-26,0
Bulgaria,BGR,2020-11-09,0
Bulgaria,BGR,2020-11-23,0
Bulgaria,BGR,2020-12-07,0
Bulgaria,BGR,2020-12-21,0
Bulgaria,BGR,2021-01-04,0
Bulgaria,BGR,2021-01-11,0
Bulgaria,BGR,2021-01-25,0
Bulgaria,BGR,2021-02-08,0
Bulgaria,BGR,2021-02-22,0
Bulgaria,BGR,2021-03-08,0
Bulgaria,BGR,2021-03-22,0
Bulgaria,BGR,2021-04-05,0
Bulgaria,BGR,2021-04-19,0.27
Bulgaria,BGR,2021-05-03,0
Bulgaria,BGR,2021-05-17,0
Bulgaria,BGR,2021-05-31,0
Bulgaria,BGR,2021-06-14,66.67
Bulgaria,BGR,2021-06-28,100
Cambodia,KHM,2020-11-09,0
Cambodia,KHM,2020-11-23,0
Cambodia,KHM,2020-12-07,0
Cambodia,KHM,2020-12-21,0
Cambodia,KHM,2021-01-04,0
Cambodia,KHM,2021-01-25,0
Cambodia,KHM,2021-02-08,0
Cambodia,KHM,2021-02-22,0
Cambodia,KHM,2021-03-08,0
Cambodia,KHM,2021-03-22,0
Cambodia,KHM,2021-04-05,0
Cambodia,KHM,2021-04-19,0
Cambodia,KHM,2021-05-03,0
Cambodia,KHM,2021-05-17,0
Cambodia,KHM,2021-05-31,4.55
Cambodia,KHM,2021-06-14,16.9
Cambodia,KHM,2021-06-28,28.95
Canada,CAN,2020-05-11,0
Canada,CAN,2020-05-25,0
Canada,CAN,2020-06-08,0
Canada,CAN,2020-06-22,0
Canada,CAN,2020-07-06,0
Canada,CAN,2020-07-20,0
Canada,CAN,2020-08-03,0
Canada,CAN,2020-08-17,0
Canada,CAN,2020-08-31,0
Canada,CAN,2020-09-14,0
Canada,CAN,2020-09-28,0
Canada,CAN,2020-10-12,0
Canada,CAN,2020-10-26,0
Canada,CAN,2020-11-09,0
Canada,CAN,2020-11-23,0
Canada,CAN,2020-12-07,0
Canada,CAN,2020-12-21,0
Canada,CAN,2021-01-04,0
Canada,CAN,2021-01-11,0
Canada,CAN,2021-01-25,0
Canada,CAN,2021-02-08,0
Canada,CAN,2021-02-22,0
Canada,CAN,2021-03-08,0
Canada,CAN,2021-03-22,0.02
Canada,CAN,2021-04-05,0.03
Canada,CAN,2021-04-19,0.98
Canada,CAN,2021-05-03,2.02
Canada,CAN,2021-05-17,5.28
Canada,CAN,2021-05-31,40.18
Chile,CHL,2020-05-11,0
Chile,CHL,2020-05-25,0
Chile,CHL,2020-06-08,0
Chile,CHL,2020-06-22,0
Chile,CHL,2020-07-06,0
Chile,CHL,2020-07-20,0
Chile,CHL,2020-08-03,0
Chile,CHL,2020-08-17,0
Chile,CHL,2020-08-31,0
Chile,CHL,2020-09-14,0
Chile,CHL,2020-09-28,0
Chile,CHL,2020-10-12,0
Chile,CHL,2020-10-26,0
Chile,CHL,2020-11-09,0
Chile,CHL,2020-11-23,0
Chile,CHL,2020-12-07,0
Chile,CHL,2020-12-21,0
Chile,CHL,2021-01-04,0
Chile,CHL,2021-01-11,0
Chile,CHL,2021-01-25,0
Chile,CHL,2021-02-08,0
Chile,CHL,2021-02-22,0
Chile,CHL,2021-03-08,0
Chile,CHL,2021-03-22,0
Chile,CHL,2021-04-05,0
Chile,CHL,2021-04-19,0
Chile,CHL,2021-05-03,0
Chile,CHL,2021-05-17,0
Chile,CHL,2021-05-31,0
Chile,CHL,2021-06-14,0.28
Colombia,COL,2020-05-11,0
Colombia,COL,2020-05-25,0
Colombia,COL,2020-06-08,0
Colombia,COL,2020-06-22,0
Colombia,COL,2020-07-06,0
Colombia,COL,2020-07-20,0
Colombia,COL,2020-08-03,0
Colombia,COL,2020-08-17,0
Colombia,COL,2020-08-31,0
Colombia,COL,2020-09-14,0
Colombia,COL,2020-09-28,0
Colombia,COL,2020-10-12,0
Colombia,COL,2020-10-26,0
Colombia,COL,2020-11-09,0
Colombia,COL,2020-11-23,0
Colombia,COL,2020-12-07,0
Colombia,COL,2020-12-21,0
Colombia,COL,2021-01-04,0
Colombia,COL,2021-01-11,0
Colombia,COL,2021-01-25,0
Colombia,COL,2021-02-08,0
Colombia,COL,2021-02-22,0
Colombia,COL,2021-03-08,0
Colombia,COL,2021-03-22,0
Colombia,COL,2021-04-05,0
Colombia,COL,2021-04-19,0
Colombia,COL,2021-05-03,0
Colombia,COL,2021-05-17,0
Colombia,COL,2021-05-31,0
Colombia,COL,2021-06-14,0
Colombia,COL,2021-06-28,0
Costa Rica,CRI,2020-06-08,0
Costa Rica,CRI,2020-06-22,0
Costa Rica,CRI,2020-07-06,0
Costa Rica,CRI,2020-07-20,0
Costa Rica,CRI,2020-08-03,0
Costa Rica,CRI,2020-08-17,0
Costa Rica,CRI,2020-08-31,0
Costa Rica,CRI,2020-09-14,0
Costa Rica,CRI,2020-09-28,0
Costa Rica,CRI,2020-10-12,0
Costa Rica,CRI,2020-10-26,0
Costa Rica,CRI,2020-11-09,0
Costa Rica,CRI,2020-11-23,0
Costa Rica,CRI,2020-12-07,0
Costa Rica,CRI,2020-12-21,0
Costa Rica,CRI,2021-01-04,0
Costa Rica,CRI,2021-01-11,0
Costa Rica,CRI,2021-01-25,0
Costa Rica,CRI,2021-02-08,0
Costa Rica,CRI,2021-02-22,0
Costa Rica,CRI,2021-03-08,0
Costa Rica,CRI,2021-03-22,0
Costa Rica,CRI,2021-04-05,0
Costa Rica,CRI,2021-04-19,0
Costa Rica,CRI,2021-05-03,0
Costa Rica,CRI,2021-05-17,0
Costa Rica,CRI,2021-05-31,0
Costa Rica,CRI,2021-06-14,0
Costa Rica,CRI,2021-06-28,0
Croatia,HRV,2020-08-17,0
Croatia,HRV,2020-08-31,0
Croatia,HRV,2020-09-14,0
Croatia,HRV,2020-09-28,0
Croatia,HRV,2020-10-12,0
Croatia,HRV,2020-11-23,0
Croatia,HRV,2020-12-21,0
Croatia,HRV,2021-01-04,0
Croatia,HRV,2021-01-11,0
Croatia,HRV,2021-01-25,0
Croatia,HRV,2021-02-08,0
Croatia,HRV,2021-02-22,0
Croatia,HRV,2021-03-08,0
Croatia,HRV,2021-03-22,0
Croatia,HRV,2021-04-05,0
Croatia,HRV,2021-04-19,0
Croatia,HRV,2021-05-03,0
Croatia,HRV,2021-05-17,0
Croatia,HRV,2021-05-31,0.76
Croatia,HRV,2021-06-14,24.76
Curacao,CUW,2020-08-17,0
Curacao,CUW,2020-10-12,0
Curacao,CUW,2020-10-26,0
Curacao,CUW,2020-11-09,0
Curacao,CUW,2020-11-23,0
Curacao,CUW,2020-12-07,0
Curacao,CUW,2020-12-21,0
Curacao,CUW,2021-01-04,0
Curacao,CUW,2021-01-11,0
Curacao,CUW,2021-01-25,0
Curacao,CUW,2021-02-08,0
Curacao,CUW,2021-02-22,0
Curacao,CUW,2021-03-08,0
Curacao,CUW,2021-03-22,0
Curacao,CUW,2021-04-05,0
Curacao,CUW,2021-04-19,0
Curacao,CUW,2021-05-03,0
Curacao,CUW,2021-05-17,0
Curacao,CUW,2021-05-31,0
Curacao,CUW,2021-06-14,0
Cyprus,CYP,2020-05-11,0
Cyprus,CYP,2020-05-25,0
Cyprus,CYP,2020-06-22,0
Cyprus,CYP,2020-07-20,0
Cyprus,CYP,2020-08-03,0
Cyprus,CYP,2020-08-17,0
Cyprus,CYP,2020-08-31,0
Cyprus,CYP,2020-09-14,0
Cyprus,CYP,2020-09-28,0
Cyprus,CYP,2020-10-12,0
Cyprus,CYP,2020-10-26,0
Cyprus,CYP,2020-11-09,0
Cyprus,CYP,2020-11-23,0
Cyprus,CYP,2021-01-04,0
Cyprus,CYP,2021-01-25,0
Cyprus,CYP,2021-02-08,0
Czechia,CZE,2020-05-11,0
Czechia,CZE,2020-05-25,0
Czechia,CZE,2020-06-08,0
Czechia,CZE,2020-06-22,0
Czechia,CZE,2020-07-20,0
Czechia,CZE,2020-08-03,0
Czechia,CZE,2020-08-17,0
Czechia,CZE,2020-08-31,0
Czechia,CZE,2020-09-14,0
Czechia,CZE,2020-09-28,0
Czechia,CZE,2020-10-12,0
Czechia,CZE,2020-10-26,0
Czechia,CZE,2020-11-09,0
Czechia,CZE,2020-11-23,0
Czechia,CZE,2020-12-07,0
Czechia,CZE,2020-12-21,0
Czechia,CZE,2021-01-04,0
Czechia,CZE,2021-01-11,0
Czechia,CZE,2021-01-25,0
Czechia,CZE,2021-02-08,0
Czechia,CZE,2021-02-22,0
Czechia,CZE,2021-03-08,0
Czechia,CZE,2021-03-22,0
Czechia,CZE,2021-04-05,0
Czechia,CZE,2021-04-19,0
Czechia,CZE,2021-05-03,2.14
Czechia,CZE,2021-05-17,5.14
Czechia,CZE,2021-05-31,12.26
Czechia,CZE,2021-06-14,14.61
Czechia,CZE,2021-06-28,26.19
Denmark,DNK,2020-05-11,0
Denmark,DNK,2020-05-25,0
Denmark,DNK,2020-06-08,0
Denmark,DNK,2020-06-22,0
Denmark,DNK,2020-07-06,0
Denmark,DNK,2020-07-20,0
Denmark,DNK,2020-08-03,0
Denmark,DNK,2020-08-17,0
Denmark,DNK,2020-08-31,0
Denmark,DNK,2020-09-14,0
Denmark,DNK,2020-09-28,0
Denmark,DNK,2020-10-12,0
Denmark,DNK,2020-10-26,0
Denmark,DNK,2020-11-09,0
Denmark,DNK,2020-11-23,0
Denmark,DNK,2020-12-07,0
Denmark,DNK,2020-12-21,0
Denmark,DNK,2021-01-04,0
Denmark,DNK,2021-01-11,0
Denmark,DNK,2021-01-25,0
Denmark,DNK,2021-02-08,0
Denmark,DNK,2021-02-22,0
Denmark,DNK,2021-03-08,0
Denmark,DNK,2021-03-22,0
Denmark,DNK,2021-04-05,0.04
Denmark,DNK,2021-04-19,0.09
Denmark,DNK,2021-05-03,0.39
Denmark,DNK,2021-05-17,0.43
Denmark,DNK,2021-05-31,0.31
Denmark,DNK,2021-06-14,2.05
Denmark,DNK,2021-06-28,25.47
Denmark,DNK,2021-07-12,73.21
Ecuador,ECU,2020-05-11,0
Ecuador,ECU,2020-05-25,0
Ecuador,ECU,2020-06-08,0
Ecuador,ECU,2020-06-22,0
Ecuador,ECU,2020-07-06,0
Ecuador,ECU,2020-07-20,0
Ecuador,ECU,2020-08-03,0
Ecuador,ECU,2020-08-17,0
Ecuador,ECU,2020-08-31,0
Ecuador,ECU,2020-09-14,0
Ecuador,ECU,2020-09-28,0
Ecuador,ECU,2020-10-12,0
Ecuador,ECU,2020-10-26,0
Ecuador,ECU,2020-11-09,0
Ecuador,ECU,2020-11-23,0
Ecuador,ECU,2020-12-07,0
Ecuador,ECU,2020-12-21,0
Ecuador,ECU,2021-01-04,0
Ecuador,ECU,2021-01-11,0
Ecuador,ECU,2021-01-25,0
Ecuador,ECU,2021-02-22,0
Ecuador,ECU,2021-03-08,0
Ecuador,ECU,2021-03-22,0
Ecuador,ECU,2021-04-05,0
Ecuador,ECU,2021-04-19,0
Ecuador,ECU,2021-05-03,0
Ecuador,ECU,2021-05-17,0
Ecuador,ECU,2021-05-31,0
Ecuador,ECU,2021-06-14,0
Ecuador,ECU,2021-06-28,0
Estonia,EST,2020-09-14,0
Estonia,EST,2020-09-28,0
Estonia,EST,2020-10-12,0
Estonia,EST,2020-10-26,0
Estonia,EST,2020-11-09,0
Estonia,EST,2020-11-23,0
Estonia,EST,2020-12-21,0
Estonia,EST,2021-01-04,0
Estonia,EST,2021-01-11,0
Estonia,EST,2021-01-25,0
Estonia,EST,2021-02-08,0
Estonia,EST,2021-02-22,0
Estonia,EST,2021-03-08,0
Estonia,EST,2021-03-22,0
Estonia,EST,2021-04-05,0
Estonia,EST,2021-04-19,0
Estonia,EST,2021-05-03,0
Estonia,EST,2021-05-17,0
Finland,FIN,2020-05-11,0
Finland,FIN,2020-05-25,0
Finland,FIN,2020-06-08,0
Finland,FIN,2020-06-22,0
Finland,FIN,2020-08-17,0
Finland,FIN,2020-08-31,0
Finland,FIN,2020-09-14,0
Finland,FIN,2020-09-28,0
Finland,FIN,2020-10-12,0
Finland,FIN,2020-10-26,0
Finland,FIN,2020-11-09,0
Finland,FIN,2020-11-23,0
Finland,FIN,2020-12-07,0
Finland,FIN,2020-12-21,0
Finland,FIN,2021-01-04,0
Finland,FIN,2021-01-11,0
Finland,FIN,2021-01-25,0
Finland,FIN,2021-02-08,0
Finland,FIN,2021-02-22,0
Finland,FIN,2021-03-08,0
Finland,FIN,2021-03-22,0
Finland,FIN,2021-04-05,0
Finland,FIN,2021-04-19,0.15
Finland,FIN,2021-05-03,3.07
Finland,FIN,2021-05-17,13.73
Finland,FIN,2021-05-31,34.9
France,FRA,2020-05-11,0
France,FRA,2020-05-25,0
France,FRA,2020-06-08,0
France,FRA,2020-06-22,0
France,FRA,2020-07-06,0
France,FRA,2020-07-20,0
France,FRA,2020-08-03,0
France,FRA,2020-08-17,0
France,FRA,2020-08-31,0
France,FRA,2020-09-14,0
France,FRA,2020-09-28,0
France,FRA,2020-10-12,0
France,FRA,2020-10-26,0
France,FRA,2020-11-09,0
France,FRA,2020-11-23,0
France,FRA,2020-12-07,0
France,FRA,2020-12-21,0
France,FRA,2021-01-04,0
France,FRA,2021-01-11,0
France,FRA,2021-01-25,0
France,FRA,2021-02-08,0
France,FRA,2021-02-22,0
France,FRA,2021-03-08,0
France,FRA,2021-03-22,0
France,FRA,2021-04-05,0
France,FRA,2021-04-19,0.07
France,FRA,2021-05-03,1.12
France,FRA,2021-05-17,1.49
France,FRA,2021-05-31,2.13
France,FRA,2021-06-14,13.09
France,FRA,2021-06-28,41.28
Germany,DEU,2020-05-11,0
Germany,DEU,2020-05-25,0
Germany,DEU,2020-06-08,0
Germany,DEU,2020-06-22,0
Germany,DEU,2020-07-06,0
Germany,DEU,2020-07-20,0
Germany,DEU,2020-08-03,0
Germany,DEU,2020-08-17,0
Germany,DEU,2020-08-31,0
Germany,DEU,2020-09-14,0
Germany,DEU,2020-09-28,0
Germany,DEU,2020-10-12,0
Germany,DEU,2020-10-26,0
Germany,DEU,2020-11-09,0
Germany,DEU,2020-11-23,0
Germany,DEU,2020-12-07,0
Germany,DEU,2020-12-21,0
Germany,DEU,2021-01-04,0
Germany,DEU,2021-01-11,0
Germany,DEU,2021-01-25,0
Germany,DEU,2021-02-08,0
Germany,DEU,2021-02-22,0
Germany,DEU,2021-03-08,0
Germany,DEU,2021-03-22,0.01
Germany,DEU,2021-04-05,0.01
Germany,DEU,2021-04-19,0.15
Germany,DEU,2021-05-03,0.69
Germany,DEU,2021-05-17,1.96
Germany,DEU,2021-05-31,3.86
Germany,DEU,2021-06-14,12.91
Germany,DEU,2021-06-28,41.12
Ghana,GHA,2020-05-11,0
Ghana,GHA,2020-05-25,0
Ghana,GHA,2020-06-08,0
Ghana,GHA,2020-06-22,0
Ghana,GHA,2020-07-06,0
Ghana,GHA,2020-07-20,0
Ghana,GHA,2020-08-03,0
Ghana,GHA,2020-08-17,0
Ghana,GHA,2020-08-31,0
Ghana,GHA,2020-09-14,0
Ghana,GHA,2020-10-12,0
Ghana,GHA,2020-11-09,0
Ghana,GHA,2020-11-23,0
Ghana,GHA,2020-12-07,0
Ghana,GHA,2020-12-21,0
Ghana,GHA,2021-01-04,0
Ghana,GHA,2021-01-11,0
Ghana,GHA,2021-01-25,0
Ghana,GHA,2021-02-08,0
Ghana,GHA,2021-02-22,0
Ghana,GHA,2021-03-08,0
Ghana,GHA,2021-03-22,0
Ghana,GHA,2021-04-05,0
Ghana,GHA,2021-04-19,0
Ghana,GHA,2021-05-03,7.69
Ghana,GHA,2021-05-17,0
Ghana,GHA,2021-05-31,10.34
Ghana,GHA,2021-06-14,15
Ghana,GHA,2021-06-28,33.33
Greece,GRC,2020-05-11,0
Greece,GRC,2020-05-25,0
Greece,GRC,2020-08-03,0
Greece,GRC,2020-08-17,0
Greece,GRC,2020-08-31,0
Greece,GRC,2020-09-14,0
Greece,GRC,2020-09-28,0
Greece,GRC,2020-10-12,0
Greece,GRC,2020-10-26,0
Greece,GRC,2020-11-09,0
Greece,GRC,2020-11-23,0
Greece,GRC,2020-12-07,0
Greece,GRC,2020-12-21,0
Greece,GRC,2021-01-04,0
Greece,GRC,2021-01-11,0
Greece,GRC,2021-01-25,0
Greece,GRC,2021-02-08,0
Greece,GRC,2021-02-22,0
Greece,GRC,2021-03-08,0
Greece,GRC,2021-03-22,0
Greece,GRC,2021-04-05,0.3
Greece,GRC,2021-04-19,0
Greece,GRC,2021-05-03,0.63
Greece,GRC,2021-05-17,0.08
Greece,GRC,2021-05-31,0
Greece,GRC,2021-06-14,0
Hong Kong,HKG,2020-05-11,0
Hong Kong,HKG,2020-05-25,0
Hong Kong,HKG,2020-07-06,0
Hong Kong,HKG,2020-07-20,0
