group,Other,Western Pacific,Africa,Eastern Mediterranean,South East Asia,Europe,Americas
04-Jan-20,0,0,0,0,0,0,0
04-Jan-20,0,1,0,0,0,0,0
05-Jan-20,0,0,0,0,0,0,0
05-Jan-20,0,3,0,0,0,0,0
05-Jan-20,0,0,0,0,0,0,0
05-Jan-20,0,0,0,0,0,0,0
05-Jan-20,0,0,0,0,0,0,0
05-Jan-20,0,0,0,0,0,0,0
05-Jan-20,0,0,0,0,0,0,0
12-Jan-20,0,41,0,0,0,0,0
12-Jan-20,0,0,0,0,1,0,0
12-Jan-20,0,1,0,0,4,0,0
12-Jan-20,0,0,0,0,0,0,0
12-Jan-20,0,0,0,0,0,0,0
12-Jan-20,0,4,0,0,0,0,0
12-Jan-20,0,0,0,0,4,0,0
19-Jan-20,0,81,0,0,0,0,0
19-Jan-20,0,77,0,0,0,0,5
19-Jan-20,0,93,0,0,0,0,0
19-Jan-20,0,143,0,0,1,0,0
19-Jan-20,0,132,0,0,0,0,0
19-Jan-20,0,269,0,0,8,3,31
19-Jan-20,0,469,0,0,0,0,1
26-Jan-20,0,691,0,0,0,0,6
26-Jan-20,0,783,0,0,12,0,4
26-Jan-20,0,1770,0,0,0,1,4
26-Jan-20,0,1469,0,8,8,7,1
26-Jan-20,0,1751,0,0,1,1,1
26-Jan-20,0,1999,0,0,9,6,2
26-Jan-20,0,2109,0,1,0,4,2
02-Feb-20,0,2601,0,0,1,3,4
02-Feb-20,0,2834,0,0,1,1,3
02-Feb-20,0,3235,0,0,10,3,1
02-Feb-20,14,3911,0,0,0,0,8
02-Feb-20,10,3710,0,0,4,0,1
02-Feb-20,41,3158,0,0,0,2,3
02-Feb-20,3,3392,0,2,3,6,0
09-Feb-20,6,2664,0,0,0,0,1
09-Feb-20,65,2990,0,1,0,4,1
09-Feb-20,0,2477,0,0,4,2,2
09-Feb-20,39,2027,0,0,4,2,1
09-Feb-20,44,15155,0,0,0,1,2
09-Feb-20,0,4065,0,5,0,3,1
09-Feb-20,67,2660,0,0,0,0,2
16-Feb-20,70,2030,0,1,4,0,3
16-Feb-20,99,2060,0,0,0,1,3
16-Feb-20,88,1904,0,0,4,0,0
16-Feb-20,79,1796,0,6,0,0,6
16-Feb-20,0,417,0,3,0,0,0
16-Feb-20,13,987,0,20,0,1,1
16-Feb-20,0,1034,0,12,0,14,3
23-Feb-20,57,890,0,15,0,64,9
23-Feb-20,0,439,0,32,0,56,3
23-Feb-20,0,660,5,66,0,100,1
23-Feb-20,4,674,0,72,3,108,10
23-Feb-20,0,913,0,48,4,106,5
23-Feb-20,0,786,5,256,0,334,13
23-Feb-20,0,1364,0,20,1,327,16
01-Mar-20,1,1187,0,217,4,414,14
01-Mar-20,0,915,7,40,0,690,44
01-Mar-20,0,748,2,939,12,571,41
01-Mar-20,0,666,6,1430,19,764,42
01-Mar-20,0,641,9,617,1,1088,52
01-Mar-20,0,720,10,1279,6,1516,70
01-Mar-20,0,697,7,1114,11,1868,116
08-Mar-20,0,489,1,822,10,2207,117
08-Mar-20,0,366,4,640,7,2684,113
08-Mar-20,0,233,4,952,20,3514,227
08-Mar-20,0,363,11,1090,23,3373,345
08-Mar-20,0,283,22,1129,36,5952,436
08-Mar-20,1,238,11,1313,21,7419,528
08-Mar-20,0,317,78,1817,37,8019,715
15-Mar-20,15,330,45,1417,110,9744,623
15-Mar-20,0,438,52,1177,68,9160,797
15-Mar-20,0,339,50,1545,106,12144,1818
15-Mar-20,0,479,95,1464,118,13070,1588
15-Mar-20,0,655,160,1247,183,15937,3781
15-Mar-20,0,513,76,1546,173,23187,4682
15-Mar-20,0,707,111,1225,244,24041,5817
22-Mar-20,0,747,64,1558,339,24364,3771
22-Mar-20,0,853,176,1819,279,22345,7011
22-Mar-20,0,989,304,2385,309,27050,10814
22-Mar-20,0,1135,351,2838,304,28028,12636
22-Mar-20,0,920,281,2836,264,33499,14278
22-Mar-20,0,1331,482,3540,329,38425,14718
22-Mar-20,0,1161,412,3594,406,40768,19418
29-Mar-20,0,1445,205,3711,353,41490,20938
29-Mar-20,0,1278,484,3838,367,31178,21386
29-Mar-20,0,967,282,4027,430,31691,21087
29-Mar-20,0,1557,313,3740,681,41772,25573
29-Mar-20,0,1372,621,3868,555,39166,26894
29-Mar-20,0,1132,560,3820,647,37679,31620
29-Mar-20,0,1447,689,3446,817,41061,29947
05-Apr-20,0,1019,423,1685,780,38510,39196
05-Apr-20,0,1126,231,4054,1007,29381,33966
05-Apr-20,0,1120,443,4218,685,31145,30668
05-Apr-20,0,1027,555,3428,1242,34900,46268
05-Apr-20,0,1182,690,3357,1097,39191,27557
05-Apr-20,0,1397,450,3308,916,40419,39311
05-Apr-20,0,1301,553,3568,1477,39563,39312
12-Apr-20,0,1569,388,3719,1496,35064,40252
12-Apr-20,0,1308,531,3768,1340,29032,37535
12-Apr-20,0,1379,527,3925,1769,27122,32909
12-Apr-20,0,1399,580,3751,1652,33725,28497
12-Apr-20,0,1367,477,4043,1719,32732,33753
12-Apr-20,0,1699,517,4392,1713,36757,34947
12-Apr-20,0,1987,744,4859,1690,33681,37130
19-Apr-20,0,1855,788,4008,2047,34624,37544
19-Apr-20,0,1326,868,4742,2297,27272,37478
19-Apr-20,0,2069,795,5037,2234,28808,31991
19-Apr-20,0,1761,560,4879,2081,31776,35995
19-Apr-20,0,1635,714,5101,2232,30256,34431
19-Apr-20,0,1879,1404,4845,2714,32194,35507
19-Apr-20,0,1688,1263,5676,2266,31158,58482
26-Apr-20,0,1169,819,5615,2793,28504,39237
26-Apr-20,0,1482,1154,5347,2206,23124,46887
26-Apr-20,0,1264,767,5305,2612,23410,37656
26-Apr-20,0,1064,1017,5690,2856,23505,35210
26-Apr-20,0,1294,1460,5489,2806,28296,36680
26-Apr-20,0,1095,1950,6168,3094,28308,40647
26-Apr-20,0,1565,1310,6406,3219,27081,48084
03-May-20,0,1041,1463,5618,3700,26006,47466
03-May-20,0,1328,1098,5690,3701,23762,46019
03-May-20,0,1096,2036,7077,5237,21325,43586
03-May-20,0,1016,1403,7854,4194,26083,32570
03-May-20,0,1300,1497,7968,4667,29974,36104
03-May-20,0,1263,2247,8125,4581,26466,44774
03-May-20,0,1076,2827,8699,4553,26278,50706
10-May-20,0,1139,2082,9706,4620,24599,43850
10-May-20,0,1248,1907,9436,5557,21277,48117
10-May-20,0,927,2296,8863,5212,20487,38495
10-May-20,0,1364,2600,10243,5483,24797,32160
10-May-20,0,1081,2323,9535,5381,22552,41970
10-May-20,0,1268,2438,11384,5733,23848,44444
10-May-20,0,1171,2271,10479,5527,21079,53649
17-May-20,0,823,2202,10900,6805,22060,50712
17-May-20,0,971,2500,11992,7450,18678,60309
17-May-20,0,663,2358,11845,6813,19048,33229
17-May-20,0,777,2435,11497,7997,19280,50956
17-May-20,0,955,2391,14477,8448,22224,56657
17-May-20,0,838,3405,13199,8546,19768,57272
17-May-20,29,919,2504,13423,9612,19449,56135
24-May-20,0,925,3039,12885,8954,18921,59543
24-May-20,0,927,2707,12026,9579,17789,59208
24-May-20,0,878,3042,11068,8392,17338,47956
24-May-20,0,1007,2771,10690,8907,17255,51150
24-May-20,0,1056,3777,12251,9569,18586,51964
24-May-20,0,1042,3337,13580,10913,19311,60305
24-May-20,0,1944,3973,14503,10650,19170,66261
31-May-20,0,1219,3708,15076,11852,18271,63132
31-May-20,0,1533,3632,15140,11599,16849,79398
31-May-20,0,1107,3879,16006,12092,15722,64414
31-May-20,0,1052,3365,16344,12566,16963,41538
31-May-20,0,1496,4153,17526,12735,18649,73606
31-May-20,0,1540,5465,17078,13678,18617,62378
31-May-20,0,637,5457,17906,13875,18547,71432
07-Jun-20,0,1206,4763,18652,13643,17960,80098
07-Jun-20,0,1038,4088,17751,13922,18595,75983
07-Jun-20,0,1057,5086,17171,14557,16648,54542
07-Jun-20,0,846,4789,18749,14733,17383,49289
07-Jun-20,0,1292,4795,19472,14446,18485,70865
07-Jun-20,0,1014,5680,19912,16021,19313,76334
07-Jun-20,0,1229,5492,20885,15624,18518,78833
14-Jun-20,0,1150,6312,20905,16380,19418,73289
14-Jun-20,0,1133,7937,19669,16117,17788,69133
14-Jun-20,0,924,6400,18552,16054,17742,59161
14-Jun-20,0,667,5722,20685,16634,18056,59336
14-Jun-20,0,875,6914,20042,18733,19764,117347
14-Jun-20,0,1027,6639,19157,18340,19311,78394
14-Jun-20,0,1000,7357,21773,19352,19134,77153
21-Jun-20,0,1371,8464,18966,20248,19415,112303
21-Jun-20,0,1051,7664,17233,19809,17654,91209
21-Jun-20,0,1031,7552,18512,20003,17822,67999
21-Jun-20,0,1430,7333,17676,21206,18761,68985
21-Jun-20,0,840,9010,18824,22507,20530,98011
21-Jun-20,0,1102,10194,17877,23011,20232,107556
21-Jun-20,0,1453,9350,18747,24041,19799,106165
28-Jun-20,0,1265,10713,17996,25406,19135,117959
28-Jun-20,0,1069,9532,17559,25056,17422,108663
28-Jun-20,0,1465,8943,16493,23845,27051,93493
28-Jun-20,0,1581,9504,19337,24329,18839,83302
28-Jun-20,0,1558,11638,18948,25301,19980,101253
28-Jun-20,0,837,11364,18973,26075,19787,129585
28-Jun-20,0,2251,12619,19129,27780,19095,132049
05-Jul-20,0,2121,14251,18513,29530,19358,126879
05-Jul-20,0,2969,13262,17551,28870,17162,116576
05-Jul-20,0,2708,12635,16903,26765,17925,94005
05-Jul-20,0,2105,15379,17017,28381,19679,94296
05-Jul-20,0,3083,12802,17451,31109,20866,124021
05-Jul-20,0,2107,17307,16661,31555,20979,140888
05-Jul-20,0,2147,15361,17075,31663,20951,133620
12-Jul-20,0,2146,17884,15459,33243,21320,145801
12-Jul-20,0,3041,16279,15338,33294,19212,128315
12-Jul-20,0,1614,15085,15606,33434,19551,110509
12-Jul-20,0,1571,13464,14790,34644,21527,105649
12-Jul-20,0,2382,17279,14810,37258,23140,132232
12-Jul-20,0,3603,19719,15090,39581,22729,141555
12-Jul-20,0,3345,18344,13812,39434,21682,152688
19-Jul-20,0,3338,17625,13726,43218,21488,146547
19-Jul-20,0,3414,18132,12773,45273,20231,130617
19-Jul-20,0,2619,13962,13250,42062,20740,115707
19-Jul-20,0,3489,12666,13915,42539,22553,110613
19-Jul-20,0,3156,18535,14628,50655,24261,138681
19-Jul-20,0,4046,16962,13270,53831,23888,173695
19-Jul-20,0,3748,20614,14018,53502,22915,169688
26-Jul-20,0,3703,16245,13605,52633,22906,166358
26-Jul-20,0,3839,16713,12486,54465,21269,147462
26-Jul-20,0,3862,13185,12392,52866,21868,115358
26-Jul-20,0,3665,12239,13127,54179,30663,111440
26-Jul-20,0,3781,16046,13222,57160,32410,139010
26-Jul-20,0,6575,16031,12618,60195,31792,170229
26-Jul-20,0,6719,18027,12175,61350,35137,167367
02-Aug-20,0,6695,14344,9616,57615,31565,161262
02-Aug-20,0,8153,13204,9372,56564,30208,145693
02-Aug-20,0,5218,9276,10314,56312,30322,115398
02-Aug-20,0,8336,8875,11072,57521,33596,95228
02-Aug-20,0,6422,13906,12271,61592,36207,141612
02-Aug-20,0,5967,12454,12364,68432,34962,152910
02-Aug-20,0,5836,11994,12630,66937,34140,154833
09-Aug-20,0,6209,12489,11702,69311,34593,154892
09-Aug-20,0,5097,10706,10821,67112,30548,143656
09-Aug-20,0,8264,7553,11675,59024,32427,105603
09-Aug-20,0,4623,6325,12724,66544,35766,101992
09-Aug-20,0,5891,7070,13273,72384,39448,154007
09-Aug-20,0,5618,8653,13309,70327,36907,157880
09-Aug-20,0,8289,10765,13500,70577,36503,161959
16-Aug-20,0,6283,9152,13769,68352,39731,148593
16-Aug-20,0,4924,7874,12916,63110,33585,140393
16-Aug-20,0,5055,6967,11887,61154,33963,105542
16-Aug-20,0,6329,6297,14080,70014,38503,89760
16-Aug-20,0,6225,9199,13909,75666,43219,132058
16-Aug-20,0,6391,8589,13170,74561,40617,140512
16-Aug-20,0,6151,7626,13469,75013,39953,137204
23-Aug-20,0,6621,8613,12758,74207,43976,118542
23-Aug-20,0,3818,7501,11853,66673,38286,138030
23-Aug-20,0,5835,6115,12290,66980,37969,95861
23-Aug-20,0,4252,5367,12950,73176,41896,91454
23-Aug-20,0,6953,6739,12853,82160,48149,127699
23-Aug-20,0,4882,3686,12728,83600,44349,135639
23-Aug-20,0,5508,8631,12881,83028,42082,137177
30-Aug-20,0,5019,6095,12117,84914,49418,133973
30-Aug-20,0,5395,6411,11811,84611,42530,126910
30-Aug-20,0,4420,5196,12148,76001,41318,86276
30-Aug-20,0,4550,5342,11913,85364,47122,115107
30-Aug-20,0,3215,5444,13309,91107,53353,128716
30-Aug-20,0,3196,5952,14587,90062,49334,131518
30-Aug-20,0,4688,5804,15354,92809,46991,132868
06-Sep-20,0,3417,4490,13979,96922,57888,145220
06-Sep-20,0,3558,5052,14587,96995,50979,103550
06-Sep-20,0,2068,3945,13851,81888,49985,83432
06-Sep-20,0,4243,4582,15978,96219,55585,64650
06-Sep-20,0,4084,4887,15156,103021,62401,82638
06-Sep-20,0,5004,5301,16100,103904,57386,112830
06-Sep-20,0,5172,4761,14829,104285,55272,120109
13-Sep-20,0,5990,4641,15266,101028,65735,131761
13-Sep-20,0,4085,3320,15672,98558,57804,117499
13-Sep-20,0,5308,3632,15078,90702,58987,83910
13-Sep-20,0,4342,3891,16611,97686,64709,82641
13-Sep-20,0,4483,4318,16769,104704,73698,110310
13-Sep-20,0,4153,4753,17477,104373,68070,121203
13-Sep-20,0,4197,4809,16480,100685,63194,119978
20-Sep-20,0,4756,4353,16386,100192,76173,132047
20-Sep-20,0,3993,4243,16674,94596,63199,113860
20-Sep-20,0,3994,3182,14758,82800,66655,83407
20-Sep-20,0,2244,4073,19062,91420,70735,85252
20-Sep-20,0,3559,4317,18989,94913,80948,121031
20-Sep-20,0,2860,4113,18945,94349,75800,116275
20-Sep-20,0,3518,4099,17625,92812,71999,121769
27-Sep-20,0,2822,2918,18172,96268,77755,126027
27-Sep-20,0,3699,3470,16880,89272,65742,111823
27-Sep-20,0,3664,3340,17100,78552,71608,83595
27-Sep-20,0,3009,3775,18732,88654,84827,84764
27-Sep-20,0,3353,4342,19735,95432,94386,109829
27-Sep-20,0,3507,4054,19150,90986,91598,119774
27-Sep-20,0,3793,4322,17073,88009,83674,123701
04-Oct-20,0,3726,3777,19447,84266,102442,124581
04-Oct-20,0,3986,4510,18065,83391,87887,109343
04-Oct-20,0,3453,2832,19750,70164,101401,76107
04-Oct-20,0,3495,2566,19714,83059,112649,88433
04-Oct-20,0,4087,3066,21357,90701,126729,125195
04-Oct-20,0,3430,6386,19519,79048,121636,129431
04-Oct-20,0,4285,4174,21034,85400,120373,151421
11-Oct-20,0,3394,4763,18569,84467,139541,131884
11-Oct-20,0,3594,4089,16977,77574,119468,115702
11-Oct-20,0,5116,5280,18859,65931,129247,94584
11-Oct-20,0,3269,3595,20555,73292,152345,87030
11-Oct-20,0,3612,4521,21668,78496,168097,99269
11-Oct-20,0,3687,4794,21489,74772,163522,124138
11-Oct-20,0,4766,4630,24638,72181,159392,136142
18-Oct-20,0,4281,4564,18858,71690,190638,143753
18-Oct-20,0,3786,4432,21113,65788,168231,117495
18-Oct-20,0,4878,4040,20075,56282,182354,93086
18-Oct-20,0,3184,3935,21229,67168,223536,111219
18-Oct-20,0,3622,4712,24082,67110,251267,132199
