date,region,new_cases
03-Jan-20,AFRO,0
03-Jan-20,AMRO,0
03-Jan-20,EMRO,0
03-Jan-20,EURO,0
03-Jan-20,Other,0
03-Jan-20,SEARO,0
03-Jan-20,WPRO,0
04-Jan-20,AFRO,0
04-Jan-20,AMRO,0
04-Jan-20,EMRO,0
04-Jan-20,EURO,0
04-Jan-20,Other,0
04-Jan-20,SEARO,0
04-Jan-20,WPRO,1
05-Jan-20,AFRO,0
05-Jan-20,AMRO,0
05-Jan-20,EMRO,0
05-Jan-20,EURO,0
05-Jan-20,Other,0
05-Jan-20,SEARO,0
05-Jan-20,WPRO,0
06-Jan-20,AFRO,0
06-Jan-20,AMRO,0
06-Jan-20,EMRO,0
06-Jan-20,EURO,0
06-Jan-20,Other,0
06-Jan-20,SEARO,0
06-Jan-20,WPRO,3
07-Jan-20,AFRO,0
07-Jan-20,AMRO,0
07-Jan-20,EMRO,0
07-Jan-20,EURO,0
07-Jan-20,Other,0
07-Jan-20,SEARO,0
07-Jan-20,WPRO,0
08-Jan-20,AFRO,0
08-Jan-20,AMRO,0
08-Jan-20,EMRO,0
08-Jan-20,EURO,0
08-Jan-20,Other,0
08-Jan-20,SEARO,0
08-Jan-20,WPRO,0
09-Jan-20,AFRO,0
09-Jan-20,AMRO,0
09-Jan-20,EMRO,0
09-Jan-20,EURO,0
09-Jan-20,Other,0
09-Jan-20,SEARO,0
09-Jan-20,WPRO,0
10-Jan-20,AFRO,0
10-Jan-20,AMRO,0
10-Jan-20,EMRO,0
10-Jan-20,EURO,0
10-Jan-20,Other,0
10-Jan-20,SEARO,0
10-Jan-20,WPRO,0
11-Jan-20,AFRO,0
11-Jan-20,AMRO,0
11-Jan-20,EMRO,0
11-Jan-20,EURO,0
11-Jan-20,Other,0
11-Jan-20,SEARO,0
11-Jan-20,WPRO,0
12-Jan-20,AFRO,0
12-Jan-20,AMRO,0
12-Jan-20,EMRO,0
12-Jan-20,EURO,0
12-Jan-20,Other,0
12-Jan-20,SEARO,0
12-Jan-20,WPRO,41
13-Jan-20,AFRO,0
13-Jan-20,AMRO,0
13-Jan-20,EMRO,0
13-Jan-20,EURO,0
13-Jan-20,Other,0
13-Jan-20,SEARO,1
13-Jan-20,WPRO,0
14-Jan-20,AFRO,0
14-Jan-20,AMRO,0
14-Jan-20,EMRO,0
14-Jan-20,EURO,0
14-Jan-20,Other,0
14-Jan-20,SEARO,4
14-Jan-20,WPRO,1
15-Jan-20,AFRO,0
15-Jan-20,AMRO,0
15-Jan-20,EMRO,0
15-Jan-20,EURO,0
15-Jan-20,Other,0
15-Jan-20,SEARO,0
15-Jan-20,WPRO,0
16-Jan-20,AFRO,0
16-Jan-20,AMRO,0
16-Jan-20,EMRO,0
16-Jan-20,EURO,0
16-Jan-20,Other,0
16-Jan-20,SEARO,0
16-Jan-20,WPRO,0
17-Jan-20,AFRO,0
17-Jan-20,AMRO,0
17-Jan-20,EMRO,0
17-Jan-20,EURO,0
17-Jan-20,Other,0
17-Jan-20,SEARO,-3
17-Jan-20,WPRO,4
18-Jan-20,AFRO,0
18-Jan-20,AMRO,0
18-Jan-20,EMRO,0
18-Jan-20,EURO,0
18-Jan-20,Other,0
18-Jan-20,SEARO,4
18-Jan-20,WPRO,0
19-Jan-20,AFRO,0
19-Jan-20,AMRO,0
19-Jan-20,EMRO,0
19-Jan-20,EURO,0
19-Jan-20,Other,0
19-Jan-20,SEARO,0
19-Jan-20,WPRO,81
20-Jan-20,AFRO,0
20-Jan-20,AMRO,5
20-Jan-20,EMRO,0
20-Jan-20,EURO,0
20-Jan-20,Other,0
20-Jan-20,SEARO,0
20-Jan-20,WPRO,77
21-Jan-20,AFRO,0
21-Jan-20,AMRO,0
21-Jan-20,EMRO,0
21-Jan-20,EURO,0
21-Jan-20,Other,0
21-Jan-20,SEARO,0
21-Jan-20,WPRO,93
22-Jan-20,AFRO,0
22-Jan-20,AMRO,0
22-Jan-20,EMRO,0
22-Jan-20,EURO,0
22-Jan-20,Other,0
22-Jan-20,SEARO,1
22-Jan-20,WPRO,143
23-Jan-20,AFRO,0
23-Jan-20,AMRO,0
23-Jan-20,EMRO,0
23-Jan-20,EURO,0
23-Jan-20,Other,0
23-Jan-20,SEARO,-2
23-Jan-20,WPRO,132
24-Jan-20,AFRO,0
24-Jan-20,AMRO,31
24-Jan-20,EMRO,0
24-Jan-20,EURO,3
24-Jan-20,Other,0
24-Jan-20,SEARO,8
24-Jan-20,WPRO,269
25-Jan-20,AFRO,0
25-Jan-20,AMRO,1
25-Jan-20,EMRO,0
25-Jan-20,EURO,0
25-Jan-20,Other,0
25-Jan-20,SEARO,0
25-Jan-20,WPRO,469
26-Jan-20,AFRO,0
26-Jan-20,AMRO,6
26-Jan-20,EMRO,0
26-Jan-20,EURO,0
26-Jan-20,Other,0
26-Jan-20,SEARO,-3
26-Jan-20,WPRO,691
27-Jan-20,AFRO,0
27-Jan-20,AMRO,4
27-Jan-20,EMRO,0
27-Jan-20,EURO,0
27-Jan-20,Other,0
27-Jan-20,SEARO,12
27-Jan-20,WPRO,783
28-Jan-20,AFRO,0
28-Jan-20,AMRO,4
28-Jan-20,EMRO,0
28-Jan-20,EURO,1
28-Jan-20,Other,0
28-Jan-20,SEARO,-2
28-Jan-20,WPRO,1770
29-Jan-20,AFRO,0
29-Jan-20,AMRO,1
29-Jan-20,EMRO,8
29-Jan-20,EURO,7
29-Jan-20,Other,0
29-Jan-20,SEARO,8
29-Jan-20,WPRO,1469
30-Jan-20,AFRO,0
30-Jan-20,AMRO,1
30-Jan-20,EMRO,0
30-Jan-20,EURO,1
30-Jan-20,Other,0
30-Jan-20,SEARO,1
30-Jan-20,WPRO,1751
31-Jan-20,AFRO,0
31-Jan-20,AMRO,2
31-Jan-20,EMRO,0
31-Jan-20,EURO,6
31-Jan-20,Other,0
31-Jan-20,SEARO,9
31-Jan-20,WPRO,1999
01-Feb-20,AFRO,0
01-Feb-20,AMRO,2
01-Feb-20,EMRO,1
01-Feb-20,EURO,4
01-Feb-20,Other,0
01-Feb-20,SEARO,-4
01-Feb-20,WPRO,2109
02-Feb-20,AFRO,0
02-Feb-20,AMRO,4
02-Feb-20,EMRO,0
02-Feb-20,EURO,3
02-Feb-20,Other,0
02-Feb-20,SEARO,1
02-Feb-20,WPRO,2601
03-Feb-20,AFRO,0
03-Feb-20,AMRO,3
03-Feb-20,EMRO,0
03-Feb-20,EURO,1
03-Feb-20,Other,0
03-Feb-20,SEARO,1
03-Feb-20,WPRO,2834
04-Feb-20,AFRO,0
04-Feb-20,AMRO,1
04-Feb-20,EMRO,0
04-Feb-20,EURO,3
04-Feb-20,Other,0
04-Feb-20,SEARO,10
04-Feb-20,WPRO,3235
05-Feb-20,AFRO,0
05-Feb-20,AMRO,8
05-Feb-20,EMRO,0
05-Feb-20,EURO,0
05-Feb-20,Other,14
05-Feb-20,SEARO,-4
05-Feb-20,WPRO,3911
06-Feb-20,AFRO,0
06-Feb-20,AMRO,1
06-Feb-20,EMRO,0
06-Feb-20,EURO,0
06-Feb-20,Other,10
06-Feb-20,SEARO,4
06-Feb-20,WPRO,3710
07-Feb-20,AFRO,0
07-Feb-20,AMRO,3
07-Feb-20,EMRO,0
07-Feb-20,EURO,2
07-Feb-20,Other,41
07-Feb-20,SEARO,0
07-Feb-20,WPRO,3158
08-Feb-20,AFRO,0
08-Feb-20,AMRO,0
08-Feb-20,EMRO,2
08-Feb-20,EURO,6
08-Feb-20,Other,3
08-Feb-20,SEARO,3
08-Feb-20,WPRO,3392
09-Feb-20,AFRO,0
09-Feb-20,AMRO,1
09-Feb-20,EMRO,0
09-Feb-20,EURO,0
09-Feb-20,Other,6
09-Feb-20,SEARO,-3
09-Feb-20,WPRO,2664
10-Feb-20,AFRO,0
10-Feb-20,AMRO,1
10-Feb-20,EMRO,1
10-Feb-20,EURO,4
10-Feb-20,Other,65
10-Feb-20,SEARO,0
10-Feb-20,WPRO,2990
11-Feb-20,AFRO,0
11-Feb-20,AMRO,2
11-Feb-20,EMRO,0
11-Feb-20,EURO,2
11-Feb-20,Other,0
11-Feb-20,SEARO,4
11-Feb-20,WPRO,2477
12-Feb-20,AFRO,0
12-Feb-20,AMRO,1
12-Feb-20,EMRO,0
12-Feb-20,EURO,2
12-Feb-20,Other,39
12-Feb-20,SEARO,4
12-Feb-20,WPRO,2027
13-Feb-20,AFRO,0
13-Feb-20,AMRO,2
13-Feb-20,EMRO,0
13-Feb-20,EURO,1
13-Feb-20,Other,44
13-Feb-20,SEARO,0
13-Feb-20,WPRO,15155
14-Feb-20,AFRO,0
14-Feb-20,AMRO,1
14-Feb-20,EMRO,5
14-Feb-20,EURO,3
14-Feb-20,Other,0
14-Feb-20,SEARO,0
14-Feb-20,WPRO,4065
15-Feb-20,AFRO,0
15-Feb-20,AMRO,2
15-Feb-20,EMRO,0
15-Feb-20,EURO,0
15-Feb-20,Other,67
15-Feb-20,SEARO,-3
15-Feb-20,WPRO,2660
16-Feb-20,AFRO,0
16-Feb-20,AMRO,3
16-Feb-20,EMRO,1
16-Feb-20,EURO,0
16-Feb-20,Other,70
16-Feb-20,SEARO,4
16-Feb-20,WPRO,2030
17-Feb-20,AFRO,0
17-Feb-20,AMRO,3
17-Feb-20,EMRO,0
17-Feb-20,EURO,1
17-Feb-20,Other,99
17-Feb-20,SEARO,-3
17-Feb-20,WPRO,2060
18-Feb-20,AFRO,0
18-Feb-20,AMRO,0
18-Feb-20,EMRO,0
18-Feb-20,EURO,0
18-Feb-20,Other,88
18-Feb-20,SEARO,4
18-Feb-20,WPRO,1904
19-Feb-20,AFRO,0
19-Feb-20,AMRO,6
19-Feb-20,EMRO,6
19-Feb-20,EURO,0
19-Feb-20,Other,79
19-Feb-20,SEARO,0
19-Feb-20,WPRO,1796
20-Feb-20,AFRO,0
20-Feb-20,AMRO,0
20-Feb-20,EMRO,3
20-Feb-20,EURO,0
20-Feb-20,Other,0
20-Feb-20,SEARO,0
20-Feb-20,WPRO,417
21-Feb-20,AFRO,0
21-Feb-20,AMRO,1
21-Feb-20,EMRO,20
21-Feb-20,EURO,1
21-Feb-20,Other,13
21-Feb-20,SEARO,0
21-Feb-20,WPRO,987
22-Feb-20,AFRO,0
22-Feb-20,AMRO,3
22-Feb-20,EMRO,12
22-Feb-20,EURO,14
22-Feb-20,Other,0
22-Feb-20,SEARO,0
22-Feb-20,WPRO,1034
23-Feb-20,AFRO,0
23-Feb-20,AMRO,9
23-Feb-20,EMRO,15
23-Feb-20,EURO,64
23-Feb-20,Other,57
23-Feb-20,SEARO,0
23-Feb-20,WPRO,890
24-Feb-20,AFRO,0
24-Feb-20,AMRO,3
24-Feb-20,EMRO,32
24-Feb-20,EURO,56
24-Feb-20,Other,0
24-Feb-20,SEARO,0
24-Feb-20,WPRO,439
25-Feb-20,AFRO,5
25-Feb-20,AMRO,1
25-Feb-20,EMRO,66
25-Feb-20,EURO,100
25-Feb-20,Other,0
25-Feb-20,SEARO,-2
25-Feb-20,WPRO,660
26-Feb-20,AFRO,0
26-Feb-20,AMRO,10
26-Feb-20,EMRO,72
26-Feb-20,EURO,108
26-Feb-20,Other,4
26-Feb-20,SEARO,3
26-Feb-20,WPRO,674
27-Feb-20,AFRO,0
27-Feb-20,AMRO,5
27-Feb-20,EMRO,48
27-Feb-20,EURO,106
27-Feb-20,Other,0
27-Feb-20,SEARO,4
27-Feb-20,WPRO,913
28-Feb-20,AFRO,5
28-Feb-20,AMRO,13
28-Feb-20,EMRO,256
28-Feb-20,EURO,334
28-Feb-20,Other,0
28-Feb-20,SEARO,-3
28-Feb-20,WPRO,786
29-Feb-20,AFRO,0
29-Feb-20,AMRO,16
29-Feb-20,EMRO,20
29-Feb-20,EURO,327
29-Feb-20,Other,0
29-Feb-20,SEARO,1
29-Feb-20,WPRO,1364
01-Mar-20,AFRO,0
01-Mar-20,AMRO,14
01-Mar-20,EMRO,217
01-Mar-20,EURO,414
01-Mar-20,Other,1
01-Mar-20,SEARO,4
01-Mar-20,WPRO,1187
02-Mar-20,AFRO,7
02-Mar-20,AMRO,44
02-Mar-20,EMRO,40
02-Mar-20,EURO,690
02-Mar-20,Other,0
02-Mar-20,SEARO,-3
02-Mar-20,WPRO,915
03-Mar-20,AFRO,2
03-Mar-20,AMRO,41
03-Mar-20,EMRO,939
03-Mar-20,EURO,571
03-Mar-20,Other,0
03-Mar-20,SEARO,12
03-Mar-20,WPRO,748
04-Mar-20,AFRO,6
04-Mar-20,AMRO,42
04-Mar-20,EMRO,1430
04-Mar-20,EURO,764
04-Mar-20,Other,0
04-Mar-20,SEARO,19
04-Mar-20,WPRO,666
05-Mar-20,AFRO,9
05-Mar-20,AMRO,52
05-Mar-20,EMRO,617
05-Mar-20,EURO,1088
05-Mar-20,Other,0
05-Mar-20,SEARO,1
05-Mar-20,WPRO,641
06-Mar-20,AFRO,10
06-Mar-20,AMRO,70
06-Mar-20,EMRO,1279
06-Mar-20,EURO,1516
06-Mar-20,Other,0
06-Mar-20,SEARO,6
06-Mar-20,WPRO,720
07-Mar-20,AFRO,7
07-Mar-20,AMRO,116
07-Mar-20,EMRO,1114
07-Mar-20,EURO,1868
07-Mar-20,Other,0
07-Mar-20,SEARO,11
07-Mar-20,WPRO,697
08-Mar-20,AFRO,1
08-Mar-20,AMRO,117
08-Mar-20,EMRO,822
08-Mar-20,EURO,2207
08-Mar-20,Other,0
08-Mar-20,SEARO,10
08-Mar-20,WPRO,489
09-Mar-20,AFRO,4
09-Mar-20,AMRO,113
09-Mar-20,EMRO,640
09-Mar-20,EURO,2684
09-Mar-20,Other,0
09-Mar-20,SEARO,7
09-Mar-20,WPRO,366
10-Mar-20,AFRO,4
10-Mar-20,AMRO,227
10-Mar-20,EMRO,952
10-Mar-20,EURO,3514
10-Mar-20,Other,0
10-Mar-20,SEARO,20
10-Mar-20,WPRO,233
11-Mar-20,AFRO,11
11-Mar-20,AMRO,345
11-Mar-20,EMRO,1090
11-Mar-20,EURO,3373
11-Mar-20,Other,0
11-Mar-20,SEARO,23
11-Mar-20,WPRO,363
12-Mar-20,AFRO,22
12-Mar-20,AMRO,436
12-Mar-20,EMRO,1129
12-Mar-20,EURO,5952
12-Mar-20,Other,0
12-Mar-20,SEARO,36
12-Mar-20,WPRO,283
13-Mar-20,AFRO,11
13-Mar-20,AMRO,528
13-Mar-20,EMRO,1313
13-Mar-20,EURO,7419
13-Mar-20,Other,1
13-Mar-20,SEARO,21
13-Mar-20,WPRO,238
14-Mar-20,AFRO,78
14-Mar-20,AMRO,715
14-Mar-20,EMRO,1817
14-Mar-20,EURO,8019
14-Mar-20,Other,0
14-Mar-20,SEARO,37
14-Mar-20,WPRO,317
15-Mar-20,AFRO,45
15-Mar-20,AMRO,623
15-Mar-20,EMRO,1417
15-Mar-20,EURO,9744
15-Mar-20,Other,15
15-Mar-20,SEARO,110
15-Mar-20,WPRO,330
16-Mar-20,AFRO,52
16-Mar-20,AMRO,797
16-Mar-20,EMRO,1177
16-Mar-20,EURO,9160
16-Mar-20,Other,0
16-Mar-20,SEARO,68
16-Mar-20,WPRO,438
17-Mar-20,AFRO,50
17-Mar-20,AMRO,1818
17-Mar-20,EMRO,1545
17-Mar-20,EURO,12144
17-Mar-20,Other,0
17-Mar-20,SEARO,106
17-Mar-20,WPRO,339
18-Mar-20,AFRO,95
18-Mar-20,AMRO,1588
18-Mar-20,EMRO,1464
18-Mar-20,EURO,13070
18-Mar-20,Other,0
18-Mar-20,SEARO,118
18-Mar-20,WPRO,479
19-Mar-20,AFRO,160
19-Mar-20,AMRO,3781
19-Mar-20,EMRO,1247
19-Mar-20,EURO,15937
19-Mar-20,Other,0
19-Mar-20,SEARO,183
19-Mar-20,WPRO,655
20-Mar-20,AFRO,76
20-Mar-20,AMRO,4682
20-Mar-20,EMRO,1546
20-Mar-20,EURO,23187
20-Mar-20,Other,-4
20-Mar-20,SEARO,173
20-Mar-20,WPRO,513
21-Mar-20,AFRO,111
21-Mar-20,AMRO,5817
21-Mar-20,EMRO,1225
21-Mar-20,EURO,24041
21-Mar-20,Other,0
21-Mar-20,SEARO,244
21-Mar-20,WPRO,707
22-Mar-20,AFRO,64
22-Mar-20,AMRO,3771
22-Mar-20,EMRO,1558
22-Mar-20,EURO,24364
22-Mar-20,Other,0
22-Mar-20,SEARO,339
22-Mar-20,WPRO,747
23-Mar-20,AFRO,176
23-Mar-20,AMRO,7011
23-Mar-20,EMRO,1819
23-Mar-20,EURO,22345
23-Mar-20,Other,0
23-Mar-20,SEARO,279
23-Mar-20,WPRO,853
24-Mar-20,AFRO,304
24-Mar-20,AMRO,10814
24-Mar-20,EMRO,2385
24-Mar-20,EURO,27050
24-Mar-20,Other,0
24-Mar-20,SEARO,309
24-Mar-20,WPRO,989
25-Mar-20,AFRO,351
25-Mar-20,AMRO,12636
25-Mar-20,EMRO,2838
25-Mar-20,EURO,28028
25-Mar-20,Other,0
25-Mar-20,SEARO,304
25-Mar-20,WPRO,1135
26-Mar-20,AFRO,281
26-Mar-20,AMRO,14278
26-Mar-20,EMRO,2836
26-Mar-20,EURO,33499
26-Mar-20,Other,0
26-Mar-20,SEARO,264
26-Mar-20,WPRO,920
27-Mar-20,AFRO,482
27-Mar-20,AMRO,14718
27-Mar-20,EMRO,3540
27-Mar-20,EURO,38425
27-Mar-20,Other,0
27-Mar-20,SEARO,329
27-Mar-20,WPRO,1331
28-Mar-20,AFRO,412
28-Mar-20,AMRO,19418
28-Mar-20,EMRO,3594
28-Mar-20,EURO,40768
28-Mar-20,Other,0
28-Mar-20,SEARO,406
28-Mar-20,WPRO,1161
29-Mar-20,AFRO,205
29-Mar-20,AMRO,20938
29-Mar-20,EMRO,3711
29-Mar-20,EURO,41490
29-Mar-20,Other,0
29-Mar-20,SEARO,353
29-Mar-20,WPRO,1445
30-Mar-20,AFRO,484
30-Mar-20,AMRO,21386
30-Mar-20,EMRO,3838
30-Mar-20,EURO,31178
30-Mar-20,Other,0
30-Mar-20,SEARO,367
30-Mar-20,WPRO,1278
31-Mar-20,AFRO,282
31-Mar-20,AMRO,21087
31-Mar-20,EMRO,4027
31-Mar-20,EURO,31691
31-Mar-20,Other,0
31-Mar-20,SEARO,430
31-Mar-20,WPRO,967
01-Apr-20,AFRO,313
01-Apr-20,AMRO,25573
01-Apr-20,EMRO,3740
01-Apr-20,EURO,41772
01-Apr-20,Other,0
01-Apr-20,SEARO,681
01-Apr-20,WPRO,1557
02-Apr-20,AFRO,621
02-Apr-20,AMRO,26894
02-Apr-20,EMRO,3868
02-Apr-20,EURO,39166
02-Apr-20,Other,0
02-Apr-20,SEARO,555
02-Apr-20,WPRO,1372
03-Apr-20,AFRO,560
03-Apr-20,AMRO,31620
03-Apr-20,EMRO,3820
03-Apr-20,EURO,37679
03-Apr-20,Other,0
03-Apr-20,SEARO,647
03-Apr-20,WPRO,1132
04-Apr-20,AFRO,689
04-Apr-20,AMRO,29947
04-Apr-20,EMRO,3446
04-Apr-20,EURO,41061
04-Apr-20,Other,0
04-Apr-20,SEARO,817
04-Apr-20,WPRO,1447
05-Apr-20,AFRO,423
05-Apr-20,AMRO,39196
05-Apr-20,EMRO,1685
05-Apr-20,EURO,38510
05-Apr-20,Other,0
05-Apr-20,SEARO,780
05-Apr-20,WPRO,1019
06-Apr-20,AFRO,231
06-Apr-20,AMRO,33966
06-Apr-20,EMRO,4054
06-Apr-20,EURO,29381
06-Apr-20,Other,0
06-Apr-20,SEARO,1007
06-Apr-20,WPRO,1126
07-Apr-20,AFRO,443
07-Apr-20,AMRO,30668
07-Apr-20,EMRO,4218
07-Apr-20,EURO,31145
07-Apr-20,Other,0
07-Apr-20,SEARO,685
07-Apr-20,WPRO,1120
08-Apr-20,AFRO,555
08-Apr-20,AMRO,46268
08-Apr-20,EMRO,3428
08-Apr-20,EURO,34900
08-Apr-20,Other,0
08-Apr-20,SEARO,1242
08-Apr-20,WPRO,1027
09-Apr-20,AFRO,690
09-Apr-20,AMRO,27557
09-Apr-20,EMRO,3357
09-Apr-20,EURO,39191
09-Apr-20,Other,0
09-Apr-20,SEARO,1097
09-Apr-20,WPRO,1182
10-Apr-20,AFRO,450
10-Apr-20,AMRO,39311
10-Apr-20,EMRO,3308
10-Apr-20,EURO,40419
10-Apr-20,Other,0
10-Apr-20,SEARO,916
10-Apr-20,WPRO,1397
11-Apr-20,AFRO,553
11-Apr-20,AMRO,39312
11-Apr-20,EMRO,3568
11-Apr-20,EURO,39563
11-Apr-20,Other,0
11-Apr-20,SEARO,1477
11-Apr-20,WPRO,1301
12-Apr-20,AFRO,388
12-Apr-20,AMRO,40252
12-Apr-20,EMRO,3719
12-Apr-20,EURO,35064
12-Apr-20,Other,0
12-Apr-20,SEARO,1496
12-Apr-20,WPRO,1569
13-Apr-20,AFRO,531
13-Apr-20,AMRO,37535
13-Apr-20,EMRO,3768
13-Apr-20,EURO,29032
13-Apr-20,Other,0
13-Apr-20,SEARO,1340
13-Apr-20,WPRO,1308
14-Apr-20,AFRO,527
14-Apr-20,AMRO,32909
14-Apr-20,EMRO,3925
14-Apr-20,EURO,27122
14-Apr-20,Other,0
14-Apr-20,SEARO,1769
14-Apr-20,WPRO,1379
15-Apr-20,AFRO,580
15-Apr-20,AMRO,28497
15-Apr-20,EMRO,3751
15-Apr-20,EURO,33725
15-Apr-20,Other,0
15-Apr-20,SEARO,1652
15-Apr-20,WPRO,1399
16-Apr-20,AFRO,477
16-Apr-20,AMRO,33753
16-Apr-20,EMRO,4043
16-Apr-20,EURO,32732
16-Apr-20,Other,0
16-Apr-20,SEARO,1719
16-Apr-20,WPRO,1367
17-Apr-20,AFRO,517
17-Apr-20,AMRO,34947
17-Apr-20,EMRO,4392
17-Apr-20,EURO,36757
17-Apr-20,Other,0
17-Apr-20,SEARO,1713
17-Apr-20,WPRO,1699
18-Apr-20,AFRO,744
18-Apr-20,AMRO,37130
18-Apr-20,EMRO,4859
18-Apr-20,EURO,33681
18-Apr-20,Other,0
18-Apr-20,SEARO,1690
18-Apr-20,WPRO,1987
19-Apr-20,AFRO,788
19-Apr-20,AMRO,37544
19-Apr-20,EMRO,4008
19-Apr-20,EURO,34624
19-Apr-20,Other,0
19-Apr-20,SEARO,2047
19-Apr-20,WPRO,1855
20-Apr-20,AFRO,868
20-Apr-20,AMRO,37478
20-Apr-20,EMRO,4742
20-Apr-20,EURO,27272
20-Apr-20,Other,0
20-Apr-20,SEARO,2297
20-Apr-20,WPRO,1326
21-Apr-20,AFRO,795
21-Apr-20,AMRO,31991
21-Apr-20,EMRO,5037
21-Apr-20,EURO,28808
21-Apr-20,Other,0
21-Apr-20,SEARO,2234
21-Apr-20,WPRO,2069
22-Apr-20,AFRO,560
22-Apr-20,AMRO,35995
22-Apr-20,EMRO,4879
22-Apr-20,EURO,31776
22-Apr-20,Other,0
22-Apr-20,SEARO,2081
22-Apr-20,WPRO,1761
23-Apr-20,AFRO,714
23-Apr-20,AMRO,34431
23-Apr-20,EMRO,5101
23-Apr-20,EURO,30256
23-Apr-20,Other,0
23-Apr-20,SEARO,2232
23-Apr-20,WPRO,1635
24-Apr-20,AFRO,1404
24-Apr-20,AMRO,35507
24-Apr-20,EMRO,4845
24-Apr-20,EURO,32194
24-Apr-20,Other,0
24-Apr-20,SEARO,2714
24-Apr-20,WPRO,1879
25-Apr-20,AFRO,1263
25-Apr-20,AMRO,58482
25-Apr-20,EMRO,5676
25-Apr-20,EURO,31158
25-Apr-20,Other,0
25-Apr-20,SEARO,2266
25-Apr-20,WPRO,1688
26-Apr-20,AFRO,819
26-Apr-20,AMRO,39237
26-Apr-20,EMRO,5615
26-Apr-20,EURO,28504
26-Apr-20,Other,0
26-Apr-20,SEARO,2793
26-Apr-20,WPRO,1169
27-Apr-20,AFRO,1154
27-Apr-20,AMRO,46887
27-Apr-20,EMRO,5347
27-Apr-20,EURO,23124
27-Apr-20,Other,0
27-Apr-20,SEARO,2206
27-Apr-20,WPRO,1482
28-Apr-20,AFRO,767
28-Apr-20,AMRO,37656
28-Apr-20,EMRO,5305
28-Apr-20,EURO,23410
28-Apr-20,Other,0
28-Apr-20,SEARO,2612
28-Apr-20,WPRO,1264
29-Apr-20,AFRO,1017
29-Apr-20,AMRO,35210
29-Apr-20,EMRO,5690
29-Apr-20,EURO,23505
29-Apr-20,Other,0
29-Apr-20,SEARO,2856
29-Apr-20,WPRO,1064
30-Apr-20,AFRO,1460
30-Apr-20,AMRO,36680
